exit_reason,minutes_to_exit,mfe_r,mae_r,r_final,r_at_60min,r_at_120min,r_at_240min,r_at_480min,r_at_720min,action
TIMEOUT,720.0,0.3663878360337096,-0.8727397025522498,-0.464866682967636,0.16090047825818388,0.08994918302626231,-0.6889642165416912,-0.7750362796099284,-0.464866682967636,SHORT
TIMEOUT,720.0,0.19944403275993894,-0.9578394949107544,-0.50559697476722,0.0705041007527231,0.11496614627245619,-0.04827307799284935,-0.13719716903230106,-0.50559697476722,LONG
SL,510.0,0.07798838179491274,-1.0157986728786923,-1.0,-0.008448741361107542,-0.14947773177357415,-0.14167889359409025,-0.3282011067202424,-1.0,LONG
SL,405.0,0.37522919173119634,-1.0157636049287282,-1.0,-0.009917952204358654,0.03801881678334038,0.16034022730362596,-1.0,-1.0,LONG
SL,360.0,0.3390473682619928,-1.0803972108050073,-1.0,-0.19904273360655467,0.11807619790217558,-0.17036708554458269,-1.0,-1.0,LONG
SL,327.0,0.11341605334967687,-1.0016905831843428,-1.0,-0.1932609549078593,0.023590539096731967,-0.36746801285294894,-1.0,-1.0,LONG
SL,270.0,0.1691583718507807,-1.3780891271974547,-1.0,0.07814381308323619,-0.2353507782271995,-0.4054284890554293,-1.0,-1.0,LONG
TIMEOUT,720.0,1.8835091114715559,-0.5578518464653249,0.20214538137856197,-0.2047481116109214,0.14315016277880263,-0.12146074417597168,1.299629962682814,0.20214538137856197,LONG
SL,132.0,0.6187388347306001,-1.0056900564506601,-1.0,0.3266098183330317,-0.6896160387090284,-1.0,-1.0,-1.0,LONG
TIMEOUT,720.0,1.8378650087071398,-0.46581077503535434,0.6000690652037048,-0.34792544708264267,0.04502564609304415,1.0421390450263641,0.09332588462921608,0.6000690652037048,LONG
TP,115.0,2.060030803272861,-0.10314750361214514,2.0,0.47876011110546013,2.0,2.0,2.0,2.0,LONG
TIMEOUT,720.0,0.5325128619604731,-0.8969328846338096,0.2094594364554671,-0.17268912786142043,-0.16415316336636243,-0.16677961398023677,-0.12016011558418745,0.2094594364554671,LONG
TP,718.0,2.4469703533881937,-0.91859612816661,1.9999999999999822,-0.281315153022805,-0.1555877103310433,-0.2498832923498601,0.1783758093189203,1.9999999999999822,LONG
TP,613.0,2.980916798683109,-0.8267976805175307,2.0000000000000204,0.3840608580468492,-0.02222574409993373,0.010668357167978702,0.6498807574820574,2.0000000000000204,LONG
SL,111.0,0.30999192808485665,-1.2941687549800245,-1.0,-0.024723282607993904,-1.0,-1.0,-1.0,-1.0,LONG
TP,435.0,2.03489713955247,-0.9689644339062092,2.0,-0.04956156111158909,-0.4589831529029481,0.14078356489667931,2.0,2.0,LONG
TP,389.0,2.018386626498206,-0.9085743370769349,2.000000000000017,-0.4693049261761063,0.17420598859658296,-0.1561846794314027,2.000000000000017,2.000000000000017,LONG
TP,296.0,2.0713889642060574,-0.5918254183445879,2.0,0.46162382630877136,0.9863756972409797,1.3225325348607049,2.0,2.0,LONG
TP,286.0,2.2525085411940653,-0.5053837651347505,2.0,0.3564575805930045,0.008963149995576175,1.218988399397341,2.0,2.0,LONG
TP,332.0,2.091538937620852,-0.7794590619118132,2.0,-0.1798311134756071,-0.2674558280035323,1.4008500113418898,2.0,2.0,LONG
SL,525.0,1.243018377620092,-1.4168080664817384,-1.0,-0.14817244829242335,0.13390830297546452,0.4625658552782948,0.19649587936617463,-1.0,LONG
SL,450.0,1.3292258605200584,-1.6666144669520113,-1.0,0.10885618788669994,0.38165241777142644,0.9403600809007251,-1.0,-1.0,LONG
TIMEOUT,720.0,0.6983135603760835,-0.9721203971192897,-0.341374156921442,0.1701564450561764,-0.10117410246584026,0.5454911398682418,-0.14539355284426497,-0.341374156921442,LONG
